Rank,Title,Release,Runtime,Rated,Ratings
1,The Shawshank Redemption,1994,142,R,9.3
2,The Godfather,1972,175,R,9.2
3,The Dark Knight,2008,152,PG-13,9
4,The Godfather Part II,1974,202,R,9
5,12 Angry Men,1957,96,Approved,9
6,The Lord of the Rings: The Return of the King,2003,201,PG-13,9
7,Schindler's List,1993,195,R,9
8,Pulp Fiction,1994,154,R,8.9
9,The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,8.9
10,"The Good, the Bad and the Ugly",1966,178,R,8.8
11,Forrest Gump,1994,142,PG-13,8.8
12,The Lord of the Rings: The Two Towers,2002,179,PG-13,8.8
13,Fight Club,1999,139,R,8.8
14,Inception,2010,148,PG-13,8.8
15,Star Wars: Episode V - The Empire Strikes Back,1980,124,PG,8.7
16,The Matrix,1999,136,R,8.7
17,Goodfellas,1990,145,R,8.7
18,One Flew Over the Cuckoo's Nest,1975,133,R,8.7
19,Interstellar,2014,169,PG-13,8.7
20,Se7en,1995,127,R,8.6
21,It's a Wonderful Life,1946,130,PG,8.6
22,Seven Samurai,1954,207,Not Rated,8.6
23,The Silence of the Lambs,1991,118,R,8.6
24,Saving Private Ryan,1998,169,R,8.6
25,City of God,2002,130,R,8.6
26,The Green Mile,1999,189,R,8.6
27,Life Is Beautiful,1997,116,PG-13,8.6
28,Terminator 2: Judgment Day,1991,137,R,8.6
29,Star Wars: Episode IV - A New Hope,1977,121,PG,8.6
30,Back to the Future,1985,116,PG,8.5
31,Spirited Away,2001,124,PG,8.6
32,The Pianist,2002,150,R,8.5
33,Gladiator,2000,155,R,8.5
34,Parasite,2019,132,R,8.5
35,Psycho,1960,109,R,8.5
36,The Lion King,1994,88,G,8.5
37,Grave of the Fireflies,1988,88,Not Rated,8.5
38,The Departed,2006,151,R,8.5
39,Whiplash,2014,106,R,8.5
40,American History X,1998,119,R,8.5
41,Harakiri,1962,133,Not Rated,8.6
42,The Prestige,2006,130,PG-13,8.5
43,Léon: The Professional,1994,110,R,8.5
44,Spider-Man: Across the Spider-Verse,2023,140,PG,8.5
45,Casablanca,1942,102,PG,8.5
46,The Usual Suspects,1995,106,R,8.5
47,The Intouchables,2011,112,R,8.5
48,Cinema Paradiso,1988,174,PG,8.5
49,Modern Times,1936,87,G,8.5
